threshold,precision,recall,f1,flagged
0.9500000000000002,0.005836575875486381,0.391304347826087,0.011501597444089457,1542
1.0,0.0055248618784530384,0.34782608695652173,0.010876954452753228,1448
1.0500000000000003,0.00583941605839416,0.34782608695652173,0.01148600143575018,1370
1.1,0.006279434850863423,0.34782608695652173,0.01233616037008481,1274
1.1500000000000004,0.005847953216374269,0.30434782608695654,0.011475409836065573,1197
1.2000000000000002,0.00618921308576481,0.30434782608695654,0.012131715771230503,1131
1.25,0.006578947368421052,0.30434782608695654,0.012879484820607176,1064
1.3000000000000003,0.005030181086519115,0.21739130434782608,0.00983284169124877,994
1.35,0.005387931034482759,0.21739130434782608,0.010515247108307046,928
1.4000000000000004,0.005793742757821553,0.21739130434782608,0.011286681715575621,863
1.4500000000000002,0.005037783375314861,0.17391304347826086,0.009791921664626682,794
1.5,0.0055248618784530384,0.17391304347826086,0.0107095046854083,724
1.5500000000000003,0.004622496147919877,0.13043478260869565,0.008928571428571428,649
1.6,0.00510204081632653,0.13043478260869565,0.009819967266775777,588
1.6500000000000004,0.005859375,0.13043478260869565,0.011214953271028037,512
1.7000000000000002,0.0066815144766146995,0.13043478260869565,0.012711864406779662,449
1.75,0.0053475935828877,0.08695652173913043,0.010075566750629723,374
1.8000000000000003,0.006172839506172839,0.08695652173913043,0.011527377521613832,324
1.85,0.00749063670411985,0.08695652173913043,0.013793103448275862,267
1.9000000000000004,0.004524886877828055,0.043478260869565216,0.00819672131147541,221
1.9500000000000002,0.005263157894736842,0.043478260869565216,0.009389671361502348,190
2.0,0.006993006993006993,0.043478260869565216,0.012048192771084338,143
2.05,0.009259259259259259,0.043478260869565216,0.015267175572519083,108
2.1000000000000005,0.012195121951219513,0.043478260869565216,0.01904761904761905,82
2.1500000000000004,0.016129032258064516,0.043478260869565216,0.023529411764705882,62
2.2,0.022222222222222223,0.043478260869565216,0.029411764705882353,45
2.25,0.03225806451612903,0.043478260869565216,0.037037037037037035,31
2.3,0.045454545454545456,0.043478260869565216,0.044444444444444446,22
2.3500000000000005,0.05555555555555555,0.043478260869565216,0.04878048780487805,18
2.4000000000000004,0.07692307692307693,0.043478260869565216,0.05555555555555555,13
2.45,0.1111111111111111,0.043478260869565216,0.0625,9
2.5,0.0,0.0,0.0,7
2.55,0.0,0.0,0.0,5
2.6000000000000005,0.0,0.0,0.0,5
2.6500000000000004,0.0,0.0,0.0,2
2.7,0.0,0.0,0.0,1
2.75,0.0,0.0,0.0,0
2.8000000000000007,0.0,0.0,0.0,0
2.8500000000000005,0.0,0.0,0.0,0
2.9000000000000004,0.0,0.0,0.0,0
2.95,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0
3.0500000000000007,0.0,0.0,0.0,0
3.1000000000000005,0.0,0.0,0.0,0
3.1500000000000004,0.0,0.0,0.0,0
3.2,0.0,0.0,0.0,0
3.25,0.0,0.0,0.0,0
3.3000000000000007,0.0,0.0,0.0,0
3.3500000000000005,0.0,0.0,0.0,0
3.4000000000000004,0.0,0.0,0.0,0
3.45,0.0,0.0,0.0,0
3.5,0.0,0.0,0.0,0
3.5500000000000007,0.0,0.0,0.0,0
3.6000000000000005,0.0,0.0,0.0,0
3.6500000000000004,0.0,0.0,0.0,0
3.7,0.0,0.0,0.0,0
3.75,0.0,0.0,0.0,0
3.8000000000000007,0.0,0.0,0.0,0
3.8500000000000005,0.0,0.0,0.0,0
3.9000000000000004,0.0,0.0,0.0,0
3.95,0.0,0.0,0.0,0
4.0,0.0,0.0,0.0,0
