threshold,precision,recall,f1,flagged
0.6000000000000001,0.007349563619660083,0.6956521739130435,0.014545454545454545,2177
0.6500000000000004,0.007714561234329798,0.6956521739130435,0.015259895088221268,2074
0.7000000000000002,0.008044243338360985,0.6956521739130435,0.015904572564612324,1989
0.75,0.007356805044666317,0.6086956521739131,0.014537902388369679,1903
0.8000000000000003,0.006648199445983379,0.5217391304347826,0.01312910284463895,1805
0.8500000000000001,0.006993006993006993,0.5217391304347826,0.013801035077630822,1716
0.9000000000000004,0.006736068585425597,0.4782608695652174,0.013285024154589372,1633
0.9500000000000002,0.0070063694267515925,0.4782608695652174,0.013810420590081607,1570
1.0,0.007251153592617007,0.4782608695652174,0.014285714285714285,1517
1.0500000000000003,0.007472826086956522,0.4782608695652174,0.01471571906354515,1472
1.1,0.0077738515901060075,0.4782608695652174,0.015299026425591099,1415
1.1500000000000004,0.00805860805860806,0.4782608695652174,0.01585014409221902,1365
1.2000000000000002,0.008308157099697885,0.4782608695652174,0.016332590942835932,1324
1.25,0.007911392405063292,0.43478260869565216,0.01554001554001554,1264
1.3000000000000003,0.00741962077493817,0.391304347826087,0.014563106796116505,1213
1.35,0.00779896013864818,0.391304347826087,0.015293118096856415,1154
1.4000000000000004,0.008181818181818182,0.391304347826087,0.016028495102404273,1100
1.4500000000000002,0.0068762278978389,0.30434782608695654,0.013448607108549471,1018
1.5,0.005274261603375527,0.21739130434782608,0.010298661174047374,948
1.5500000000000003,0.0056753688989784334,0.21739130434782608,0.011061946902654867,881
1.6,0.006426735218508998,0.21739130434782608,0.012484394506866416,778
1.6500000000000004,0.007288629737609329,0.21739130434782608,0.014104372355430184,686
1.7000000000000002,0.006779661016949152,0.17391304347826086,0.013050570962479609,590
1.75,0.006012024048096192,0.13043478260869565,0.011494252873563218,499
1.8000000000000003,0.006864988558352402,0.13043478260869565,0.013043478260869565,437
1.85,0.0055248618784530384,0.08695652173913043,0.01038961038961039,362
1.9000000000000004,0.003236245954692557,0.043478260869565216,0.006024096385542169,309
1.9500000000000002,0.003787878787878788,0.043478260869565216,0.006968641114982578,264
